idAddresses,Country,City,Street,Appartment
1,RU,Moscow,Green 197,121
2,ES,Barcelona,Oak 168,49
3,NL,Utrecht,Green 40,7
4,CZ,Brno,Central 100,23
5,DE,Munich,Park 98,22
6,IT,Turin,Cedar 88,150
7,RU,Saint Petersburg,Green 108,119
8,RU,Perm,River 195,3
9,FR,Nice,Sunset 117,19
10,DE,Frankfurt,Oak 73,79
11,ES,Seville,Pine 96,44
12,US,Phoenix,Cedar 183,142
13,FR,Paris,Sunset 83,48
14,CZ,Brno,River 13,90
15,RU,Yekaterinburg,Main 122,53
16,US,Phoenix,Main 199,122
17,NL,The Hague,River 83,44
18,US,Phoenix,Cedar 126,38
19,DE,Stuttgart,River 41,121
20,CZ,Ostrava,Sunset 27,52
21,RU,Samara,Main 14,43
22,SE,Malmo,Sunset 180,120
23,PL,Krakow,Pine 10,34
24,SE,Gothenburg,Main 60,132
25,ES,Bilbao,Hill 86,64
26,SE,Malmo,Pine 153,41
27,SE,Malmo,Sunset 9,48
28,ES,Madrid,Park 75,62
29,PL,Poznan,Green 121,30
30,PL,Krakow,Central 32,143
31,NL,Utrecht,Central 125,63
32,US,Boston,Park 54,4
33,RU,Saint Petersburg,River 103,46
34,DE,Berlin,Oak 70,120
35,IT,Rome,Green 40,41
36,CZ,Prague,Pine 167,109
37,SE,Stockholm,Main 83,41
38,IT,Milan,Sunset 175,96
39,CZ,Brno,Sunset 142,86
40,CZ,Ostrava,Cedar 77,36
41,NL,Amsterdam,Main 110,105
42,ES,Bilbao,Cedar 198,77
43,SE,Gothenburg,Park 84,140
44,SE,Gothenburg,Oak 57,75
45,CZ,Prague,Park 139,72
46,DE,Berlin,Green 138,140
47,CZ,Ostrava,River 112,5
48,DE,Frankfurt,Park 111,150
49,FR,Paris,Park 76,129
50,ES,Bilbao,Pine 84,94
51,IT,Rome,Park 143,1
52,DE,Hamburg,Pine 138,30
53,RU,Saint Petersburg,Cedar 79,25
54,CZ,Prague,River 166,53
55,RU,Saint Petersburg,Main 51,143
56,US,Chicago,Pine 13,51
57,NL,Utrecht,Hill 142,2
58,NL,Amsterdam,Oak 182,46
59,ES,Valencia,River 107,126
60,ES,Madrid,Hill 167,113
61,IT,Rome,Cedar 104,85
62,US,New York,Park 99,101
63,ES,Valencia,Central 124,8
64,IT,Naples,River 74,68
65,FR,Lyon,Oak 122,140
66,IT,Bologna,Main 179,31
67,IT,Rome,Sunset 195,81
68,PL,Poznan,Main 173,8
69,US,New York,Green 154,6
70,DE,Munich,Central 4,24
71,NL,Rotterdam,River 139,121
72,FR,Toulouse,River 148,28
73,CZ,Brno,Hill 45,109
74,SE,Malmo,Cedar 117,15
75,NL,Amsterdam,Park 26,59
76,IT,Bologna,Green 62,42
77,DE,Stuttgart,Central 101,133
78,PL,Gdansk,Park 47,100
79,ES,Bilbao,Green 171,146
80,ES,Barcelona,Sunset 123,27
81,PL,Wroclaw,Cedar 11,53
82,IT,Bologna,Hill 141,43
83,CZ,Brno,Pine 143,138
84,US,Phoenix,Pine 135,15
85,US,Miami,Main 198,142
86,PL,Warsaw,Cedar 178,81
87,ES,Barcelona,Cedar 187,91
88,CZ,Prague,Park 126,27
89,US,Seattle,Oak 79,63
90,DE,Frankfurt,River 41,51
91,SE,Gothenburg,Oak 44,132
92,FR,Nice,Oak 139,130
93,SE,Malmo,Cedar 55,120
94,IT,Rome,Sunset 87,62
95,PL,Gdansk,Pine 187,94
96,CZ,Brno,Oak 118,153
97,US,Miami,Cedar 172,147
98,RU,Ufa,Sunset 143,35
99,CZ,Ostrava,Park 25,57
100,US,Miami,Hill 110,74
101,FR,Toulouse,Main 5,107
102,IT,Naples,Sunset 147,49
103,NL,Amsterdam,Pine 34,5
104,IT,Milan,River 77,116
105,ES,Seville,Cedar 66,16
106,FR,Nice,Green 74,11
107,FR,Paris,Sunset 170,40
108,CZ,Ostrava,Sunset 115,44
109,NL,Amsterdam,Green 171,122
110,DE,Berlin,River 47,70
111,SE,Stockholm,Park 70,149
112,DE,Cologne,Hill 197,21
