idAddresses,Country,City,Street,Appartment
1,RU,Moscow,Green 197,7684
2,ES,Lyon,Green 56,3088
3,NL,New York,Green 40,413
4,CZ,Los Angeles,Central 100,1410
5,DE,Ufa,Park 98,1348
6,IT,Phoenix,Cedar 88,9570
7,RU,Novosibirsk,Green 108,7611
8,RU,Miami,River 195,156
9,FR,Berlin,Sunset 117,1192
10,DE,Hamburg,Oak 73,5006
11,ES,Miami,Pine 96,2810
12,US,Paris,Pine 95,9058
13,FR,Saint Petersburg,Sunset 83,3028
14,CZ,Boston,River 13,5746
15,RU,New York,Main 122,3338
16,US,New York,Main 199,7750
17,NL,Lyon,Hill 128,9450
18,IT,Samara,Central 163,4519
19,IT,Miami,Green 42,9297
20,DE,Miami,Sunset 161,7345
21,US,Ufa,Main 171,5478
22,RU,Saint Petersburg,Green 159,7494
23,CZ,Madrid,Park 55,4715
24,RU,Yekaterinburg,River 91,875
25,FR,Milan,Hill 68,8820
26,IT,Perm,River 132,4384
27,SE,Samara,River 191,7785
28,RU,Samara,Pine 25,6310
29,ES,Madrid,Oak 175,7036
30,SE,Yekaterinburg,Sunset 30,6469
31,DE,Novosibirsk,Central 186,9135
32,NL,Los Angeles,Central 125,3973
33,US,Seattle,Park 54,227
34,RU,Kazan,River 103,2899
35,DE,Saint Petersburg,Oak 70,7651
36,IT,Madrid,Central 34,2507
37,DE,Miami,Green 75,6972
38,SE,Perm,Main 83,2613
39,IT,Samara,Sunset 175,6081
40,CZ,Miami,Sunset 142,5493
41,CZ,Berlin,Cedar 77,2261
42,NL,Hamburg,Central 5,6998
43,PL,Madrid,Pine 131,6009
44,ES,Rome,River 195,7542
45,PL,Chicago,Hill 150,6953
46,FR,Perm,River 75,7970
47,FR,Seattle,Hill 159,4578
48,DE,Kazan,Green 138,8951
49,CZ,Hamburg,River 112,266
50,DE,Paris,Park 111,9565
51,FR,Milan,Main 107,4850
52,NL,New York,Hill 68,5374
53,IT,Chicago,Main 109,9135
54,RU,Rome,Green 85,4239
55,NL,Novosibirsk,Main 31,5318
56,ES,Novosibirsk,Sunset 17,9789
57,SE,Rome,Oak 11,9239
58,US,Milan,Main 51,9115
59,US,Yekaterinburg,Pine 13,3219
60,NL,Los Angeles,Hill 142,112
61,NL,Barcelona,Central 174,4000
62,DE,Los Angeles,Cedar 156,6798
63,CZ,New York,Central 143,7205
64,IT,Barcelona,Central 91,6635
65,IT,Rome,Central 162,49
66,PL,Phoenix,Park 75,4583
67,US,Miami,Main 81,5419
68,SE,Los Angeles,Pine 194,4080
69,DE,Perm,Sunset 184,8907
70,IT,Munich,Main 179,1977
71,IT,Novosibirsk,Sunset 195,5168
72,PL,Paris,Main 173,485
73,US,Lyon,Main 35,9833
74,RU,Yekaterinburg,Green 31,214
75,US,Munich,Green 150,8868
76,CZ,Perm,Sunset 150,9462
77,US,Boston,Pine 142,2879
78,PL,Hamburg,Cedar 117,943
79,NL,Novosibirsk,Park 26,3767
80,IT,Berlin,Green 62,2648
81,DE,Lyon,Central 101,8502
82,PL,Houston,Park 47,6375
83,ES,Munich,Green 171,9303
84,ES,Samara,Sunset 123,1721
85,PL,Miami,Cedar 11,3385
86,IT,Berlin,Hill 141,2724
87,CZ,Miami,Pine 143,8826
88,US,Los Angeles,Pine 135,900
89,US,Boston,Main 198,9042
90,PL,Lyon,Main 82,5138
91,ES,Samara,Cedar 187,5770
92,CZ,Saint Petersburg,Park 126,1690
93,US,Madrid,Cedar 59,5022
94,FR,Samara,River 146,2614
95,FR,Paris,Cedar 56,2779
96,NL,Milan,Oak 147,3337
97,NL,Berlin,River 129,5475
98,FR,Lyon,Sunset 92,773
99,CZ,Chicago,Oak 109,5944
100,ES,Rome,Cedar 128,8150
101,FR,Boston,River 18,7553
102,IT,Madrid,River 11,6829
103,CZ,Munich,Green 117,8393
104,PL,Novosibirsk,Oak 18,9061
105,CZ,Berlin,Park 174,4721
106,FR,Boston,Main 5,6817
107,IT,Madrid,Pine 125,9356
108,FR,Berlin,River 28,4255
