idUser,Firstname,Lastname,Birthdate,Email,Phone,Login,Password_hash,Status
1,Andrey,Ivanov,2000-06-18,andrey.ivanov.1@demo.local,33218196001,andreyivanov1,$2b$12$BD$dz1C5Jau2RJtBRnlWmTSHf6pWkLUyifDLkDmWJ6UuVTAIjvFu7,active
2,Ava,Fedorov,1996-08-03,ava.fedorov.2@demo.local,03056413953,avafedorov2,$2b$12$/Y6sHrFH2ZUCr/lgotu2iXW7GboIRoL3u6aH$w$nM$ztVuaP.coUN,active
3,William,Bauer,1988-08-10,william.bauer.3@example.com,17182278248,williambauer3,$2b$12$2BzNZV45pFCiRcDCajhDieQjEJ.Bq8F80ymm3T207gmhZRnFyy5r2,active
4,Polina,Fedorov,1955-02-17,polina.fedorov.4@bench.io,81080132677,polinafedorov4,$2b$12$BZhvWaXH6K2.tyLBhhOhg9$uhkxiiEZpFfk1OHAOEHYqM6Ojb6mjB,active
5,Oleg,Keller,1973-10-01,oleg.keller.5@example.com,35427849808,olegkeller5,$2b$12$MnrHontIKARAH$.Ggl2JfaQqHu42bojteVs3qfNUfTAFnT0tEuw0d,active
6,Maria,Meyer,1978-01-07,maria.meyer.6@mail.test,42160733754,mariameyer6,$2b$12$DCdyZQJiJSZQdoHwHen3SO3oXyGf3azU3iQOpM$N0PZLqy1WwMZaM,active
7,Ekaterina,Meyer,1989-06-20,ekaterina.meyer.7@demo.local,77738721489,ekaterinameyer7,$2b$12$QlENCzsdfF8j61yX/ZFsan2Cw7gFp6r7O4$25u85HFJ.EJ4jKEIQO,active
8,Sergey,Kuznetsov,1960-04-06,sergey.kuznetsov.8@mail.test,62316658760,sergeykuznetsov8,$2b$12$A1XcW9aTMX1C.CI3.dXRZv7qdYdk2r7xgHWPB6PRWJ1Gk8cgSCifd,blocked
9,David,Hoffmann,1951-05-22,david.hoffmann.9@mail.test,32719374529,davidhoffmann9,$2b$12$ouNndNWYzjFnMpfS2Vi$Rb1.n3U6t3wI973IPFlJ5F7WRd/Px.BTH,active
10,Charlotte,Fischer,1968-10-19,charlotte.fischer.10@example.com,83136783777,charlottefischer10,$2b$12$clLCZFNV8S2QT6INGDpyOpxyB9JKmyLDUwMbqJfgLq.nbK894RxgG,blocked
11,Emily,Smirnov,2005-12-11,emily.smirnov.11@example.com,67190229413,emilysmirnov11,$2b$12$p1CW54M2NhmABHkuEwjua058LeDKK6jDHz2oCtIsjhvNK4p7MZI$/,active
12,Charlotte,Petrov,1979-05-27,charlotte.petrov.12@demo.local,94013990490,charlottepetrov12,$2b$12$w84Jx3.l8S0QPnuQ0/KZe6lOGPoZa70gyU/4gAIqK4.pdEuNb0lCo,active
13,Andrey,Klein,2006-08-18,andrey.klein.13@mail.test,74846773782,andreyklein13,$2b$12$XyriJ1R$IaKM.t59SQW6PyEXD0fO8WXt/eq$Qm4m6bs0tj8HRYkQW,blocked
14,Emma,Richter,1986-10-26,emma.richter.14@example.com,91343161172,emmarichter14,$2b$12$MdfPhLTV3sF0xvwkWE/sD7G6Gb7Kuj4SM2G6MzX9nEWTLLcYJbg/K,active
15,Robert,Thomas,2004-07-28,robert.thomas.15@demo.local,33942104709,robertthomas15,$2b$12$UqlLP1wzqU$IvG9LRo7jsCYUlYbHp6VHWVnD8dPCi7M0orfeM/omE,active
16,Oleg,Brown,1980-11-14,oleg.brown.16@demo.local,86926179640,olegbrown16,$2b$12$VB44EUmVThYJyp6lBcgQFqAiABDQsaJsqGwodqbTEPcwHgq1oi85U,active
17,Nikita,Miller,1984-04-14,nikita.miller.17@mail.test,90847007661,nikitamiller17,$2b$12$.4jkPsiqJPWL6$3moB35D0R6Z1mO2OGVt8ilkl3mVqhQp0T2gKNTn,active
18,James,Kuznetsov,1994-09-10,james.kuznetsov.18@bench.io,31585149368,jameskuznetsov18,$2b$12$dIdxINRSaxsZisdlBW16RuVNPkgtugkI42.41IBoS3oK.NfCYhaAM,blocked
19,Oleg,Schmidt,1967-05-22,oleg.schmidt.19@demo.local,51076226838,olegschmidt19,$2b$12$TjYf3c6jO2Z1LoZcPv6Ul3nF3ZkYNRCQvjoySSsEnsGzwtjw/75PO,active
20,Dmitry,Wilson,1980-02-04,dmitry.wilson.20@demo.local,49058147700,dmitrywilson20,$2b$12$VKjl$X7f5yP8$th5nRk$wfF44uUVKX0RgQiQmXKGtQksSNYqkNWQq,active
21,Sophia,Sidorov,1993-12-18,sophia.sidorov.21@bench.io,85054235733,sophiasidorov21,$2b$12$rtjLm$eRqWtuxv4f0UE4K5DEN8yV47KW$1uzrGg9VnpKkuI5s3lC5,active
22,Max,Davis,1953-08-16,max.davis.22@bench.io,85361530515,maxdavis22,$2b$12$sreK8r85akcGBt2oKEMpgE16io/cEsL2aTE1xkUi$$cX8fXVGcTiS,active
23,Nikita,Schmidt,1989-08-07,nikita.schmidt.23@demo.local,20585277221,nikitaschmidt23,$2b$12$6eLzfzfONY8GeyKTgQIpV3Z4XRx//VIk2k3xLPnkPLN52v4S5fT3J,active
24,Pavel,Sidorov,1995-09-04,pavel.sidorov.24@bench.io,58202970213,pavelsidorov24,$2b$12$UUXet5VV4jrUYOJFodx/XpHH5BK.zprj5w4lOSiLMuwUCpzrE/dUV,active
